,Consistency,TotalConsistency,Form,Opposition,Venue,DreamTeam
Riyan Parag,2.162,2.162,2.8776,3.1426,0,1
Rahul Tewatia,2.3458,2.1948,1.9882,1.864,0,1
Shubman Gill,2.6766,2.6766,3.502,2.2448,0,3
Sunil Narine,2.1106,2.1106,2.1206,2.9616,0,2
Dinesh Karthik,2.7948,3.3224,3.5974,3.6602,3.1428,1
Nitish Rana,2.3686,2.2176,3.298,2.2448,0,2
Eoin Morgan,2.162,2.2176,0,3.5104,0,3
Andre Russell,2.7948,3.0514,4.0364,2.8034,0,2
KL Rahul,3.6242,3.7526,4.2755,4.4209,2.0538,2
Mayank Agarwal,2.5491,2.6775,3.0728,2.8148,0.8666,2
Karun Nair,2.1948,2.5298,0.9848,2.8476,1.1232,0
Nicholas Pooran,2.2574,2.2574,2.5468,0,0,3
Glenn Maxwell,2.5924,2.5924,0,3.2738,3.7528,1
Sarfaraz Khan,2.621,2.313,3.3038,1.713,0,1
Rohit Sharma,3.7509,4.0075,3.2768,3.8896,3.5832,4
Quinton de Kock,2.6438,2.7659,3.7158,3.5732,2.1862,0
Suryakumar Yadav,2.6438,2.4414,3.703,3.3722,3.8412,1
Ishan Kishan,2.162,2.1848,1.8186,2.2262,0,3
Kieron Pollard,3.194,3.194,3.5418,3.9096,3.1114,3
Hardik Pandya,2.5696,2.5696,4.1262,3.06,2.0024,2
Krunal Pandya,2.5696,2.5696,2.641,2.8034,1.2742,0
Ambati Rayudu,2.8799,3.2691,2.788,4.3225,2.3974,1
Shane Watson,2.4996,3.8855,3.1684,4.0473,1.5308,1
Faf du Plessis,2.956,2.956,3.502,3.1228,2.8564,2
Kedar Jadhav,1.4338,2.4414,2.138,3.7984,1.7332,1
MS Dhoni,3.951,4.2076,3.9282,4.3914,3.8598,4
Ravindra Jadeja,2.4186,2.899,2.822,2.9718,3.8256,4
Dwayne Bravo,2.4186,2.7308,1.9696,2.1808,0,0
Sam Curran,2.2902,2.313,2.504,1.0116,1.301,2
David Warner,3.9592,4.5183,4.4265,3.7386,3.9868,2
Jonny Bairstow,3.4571,3.4571,3.9047,2.7464,3.1428,0
Manish Pandey,2.6438,3.0125,3.6716,2.5456,3.026,3
Kane Williamson,2.6994,2.6994,2.4514,3.8726,1.0176,1
Abdul Samad,1.0116,1.0116,0,0.8606,0.8934,1
Priyam Garg,3.1982,3.1982,0,1.0672,3.72,4
Devdutt Padikkal,3.0472,3.0472,0,3.1982,3.4634,4
Aaron Finch,2.1948,2.497,0,2.8136,1.2742,1
Virat Kohli,4.1977,4.1977,3.8335,3.1814,3.4508,5
AB de Villiers,4.183,4.5183,4.1904,4.3486,1.8514,1
Shivam Dube,1.713,1.713,1.713,0,0,0
Gurkeerat Singh Mann,2.772,1.703,2.772,1.6676,0,0
Washington Sundar,1.8312,1.6802,0.7354,2.7164,0,0
Jos Buttler,3.2538,2.7948,3.1398,3.5418,2.3558,2
Steven Smith,2.6438,3.1921,3.0944,3.1656,2.5796,1
Sanju Samson,2.6775,2.8118,3.6239,3.2966,1.8202,1
Robin Uthappa,0.9848,3.3224,2.8848,3.6602,1.7874,2
Mahipal Lomror,1.9882,1.9882,1.4378,2.9916,3.09,3
Riyan Parag,2.011,2.011,2.8776,1.411,1.4438,2
Rahul Tewatia,2.3458,2.3458,1.9882,1.2682,1.0772,2
Prithvi Shaw,2.3686,2.3686,3.1784,3.566,3.4634,4
Shikhar Dhawan,2.6438,3.8042,3.7714,3.4436,2.2918,2
Shreyas Iyer,2.9232,2.9232,3.6076,4.149,1.3652,5
Rishabh Pant,3.3103,3.3103,3.9096,2.9616,2.782,3
Shimron Hetmyer,1.562,1.7358,1.9268,1.0116,1.0444,1
Marcus Stoinis,2.3458,2.5882,3.3736,2.2788,0.8666,1
Ravichandran Ashwin,0.9848,1.753,1.5632,2.705,0,0
Shubman Gill,2.6766,2.6766,3.502,2.859,2.2048,2
Sunil Narine,2.1106,2.1106,2.1206,1.951,1.0176,1
Rahul Tripathi,2.7164,2.2176,2.3004,2.3772,2.782,3
Nitish Rana,2.3686,2.2176,3.298,2.9146,3.4634,4
Dinesh Karthik,2.7948,3.3224,3.5974,3.539,1.5308,1
Andre Russell,3.0514,3.0514,4.0364,3.5418,1.8968,1
Eoin Morgan,2.162,2.2176,0,2.3844,3.241,3
Shivam Mavi,0.952,0.952,0,0.992,0.4404,1
Quinton de Kock,2.6438,2.7659,3.7158,3.9282,3.569,4
Rohit Sharma,3.7509,4.0075,3.2768,2.795,1.4252,1
Suryakumar Yadav,2.6438,2.4414,3.703,3.1656,3.4648,2
Ishan Kishan,2.162,2.1848,1.8186,2.6096,2.631,3
Kieron Pollard,3.6202,3.6202,3.5418,4.2802,1.1828,2
Hardik Pandya,2.5696,2.5696,4.1262,2.1808,2.3558,3
Krunal Pandya,2.5696,2.5696,2.641,3.4862,1.0772,2
David Warner,3.9592,4.5183,4.4265,4.0208,2.8222,4
Jonny Bairstow,3.4571,3.4571,3.9047,2.2902,2.3558,2
Manish Pandey,2.6438,3.2691,3.6716,3.7714,2.1862,3
Kane Williamson,2.6994,2.6994,2.4514,1.649,1.0176,1
Priyam Garg,2.772,2.772,0,1.1358,1.1686,1
Abhishek Sharma,1.562,2.2902,1.1358,1.8186,1.4438,1
Abdul Samad,3.1426,3.1426,0,2.2902,2.3558,2
KL Rahul,3.6242,3.7526,4.2755,3.502,4.6136,4
Mayank Agarwal,2.5491,2.6775,3.0728,2.641,4.266,2
Mandeep Singh,2.3858,2.4086,3.663,2.5456,2.3558,2
Nicholas Pooran,2.2574,2.2574,2.5468,2.7164,2.2918,3
Glenn Maxwell,2.5924,2.5924,0,3.5974,1.9384,1
Sarfaraz Khan,2.621,2.313,3.3038,3.1342,2.4286,1
Shane Watson,3.0768,3.8855,3.1684,3.6602,3.6888,5
Ambati Rayudu,2.8799,3.2691,2.788,3.1784,2.3974,0
Faf du Plessis,2.956,2.956,3.502,4.092,4.3716,5
Kedar Jadhav,1.4338,2.4414,2.138,1.4396,1.7332,0
MS Dhoni,3.951,4.2076,3.9282,4.447,3.8598,0
Ravindra Jadeja,2.4186,2.899,2.822,3.1656,3.8256,0
Dwayne Bravo,2.4186,2.7308,1.9696,3.398,0,0
Sam Curran,2.2902,2.313,2.504,0,1.301,0
Devdutt Padikkal,2.621,2.621,0,0.9848,3.2854,1
Aaron Finch,2.0438,2.497,0,3.653,4.4272,1
Virat Kohli,4.1977,4.1977,3.8335,4.296,2.5358,3
AB de Villiers,4.183,4.5183,4.1904,4.3914,4.5454,1
Moeen Ali,2.3458,2.3458,2.9146,1.9696,1.4438,1
Shivam Dube,1.713,1.713,1.713,1.713,2.5484,1
Washington Sundar,1.8312,1.6802,0.7354,2.1206,2.4614,2
Prithvi Shaw,2.3686,2.3686,3.1784,2.5468,3.5504,3
Shikhar Dhawan,2.6438,3.8042,3.7714,3.7714,3.2312,3
Shreyas Iyer,2.9232,2.9232,3.6076,2.9446,2.567,1
Rishabh Pant,3.3103,3.3103,3.9096,3.653,3.5704,3
Shimron Hetmyer,2.1392,1.7358,1.9268,1.0116,1.7004,1
Marcus Stoinis,3.1982,2.5882,3.3736,3.4548,4.0322,4
Ravichandran Ashwin,0.9848,1.753,1.5632,2.5026,1.7004,0
Axar Patel,1.5292,1.904,2.3844,3.7428,1.0176,0
Rohit Sharma,3.7509,4.0075,3.2768,3.1128,4.5782,3
Quinton de Kock,2.6438,2.7659,3.7158,3.767,2.5484,2
Suryakumar Yadav,2.6438,2.4414,3.703,3.7742,4.5226,5
Ishan Kishan,2.1292,2.1848,1.8186,1.9268,1.7332,0
Hardik Pandya,2.5696,2.5696,4.1262,3.6558,3.978,3
Kieron Pollard,3.6202,3.6202,3.5418,3.4278,4.0108,0
Krunal Pandya,2.5696,2.5696,2.641,1.498,1.5308,1
Jos Buttler,3.2538,2.8504,3.1398,3.566,3.7528,4
Yashasvi Jaiswal,0.952,0.952,0,0.1582,0.2566,0
