,Consistency,TotalConsistency,Form,RecentForm,Opposition,Venue,BatBowl,DreamTeam
Manish Pandey,2.6438,2.9569,3.6716,1.9449,3.0274,3.1956,1,1
Priyam Garg,1.411,0,0,1.9449,0,0,1,0
Vijay Shankar,2.162,2.162,2.909,1.9449,1.8712,0.2566,1,0
Mitchell Marsh,0.2238,1.5292,0,1.9449,1.4636,0.2566,1,0
Aaron Finch,1.9882,2.497,0,1.9449,2.9218,4.0094,1,1
Devdutt Padikkal,3.0472,3.0472,0,1.9449,3.0472,3.3124,1,1
Virat Kohli,4.1977,4.1977,3.8335,1.9449,4.293,1.6818,1,1
AB de Villiers,4.183,4.5183,4.1904,1.9449,3.8668,3.8256,1,1
Josh Philippe,0.4076,0,0,1.9449,0,0,1,0
Washington Sundar,1.8312,1.8312,0.7354,1.9449,0.7354,0,1,0
Shivam Dube,1.562,1.562,1.713,1.9449,0.9848,1.0176,1,1
Vijay Shankar,1.2589,1.0987,1.2048,1.9449,1.3618,2.1936,0,0
Abhishek Sharma,1.9693,1.9693,2.034,1.9449,2.3344,2.1936,0,1
Mitchell Marsh,0.6808,2.4122,0,1.9449,1.8728,0.5801,0,0
Rashid Khan,2.5464,2.8098,3.9654,1.9449,3.1189,0.8584,0,0
Bhuvneshwar Kumar,3.6334,4.2217,3.4147,1.9449,3.7322,2.5249,0,0
Sandeep Sharma,1.934,3.5719,2.9483,1.9449,4.2406,3.052,0,0
T Natarajan,1.5166,1.0987,0,1.9449,1.1685,1.871,0,1
Washington Sundar,1.5166,2.0315,2.155,1.9449,2.63,0.5801,0,0
Shivam Dube,1.9693,1.9693,0.6115,1.9449,2.3344,2.1936,0,1
Navdeep Saini,1.934,1.934,2.8032,1.9449,2.6521,2.4719,0,1
Umesh Yadav,2.0315,3.841,2.5186,1.9449,3.5857,0.8584,0,0
Dale Steyn,2.4489,3.4906,2.155,1.9449,1.1685,3.6321,0,0
Yuzvendra Chahal,3.5719,3.8353,3.8608,1.9449,3.7543,3.6321,0,1
Robin Uthappa,0.8338,3.3224,2.8848,1.9449,3.6274,1.8842,1,0
Yashasvi Jaiswal,1.1358,0,0,1.9449,0,0,1,0
Sanju Samson,2.6775,2.8118,3.6239,1.9449,2.44,3.8084,1,1
Steven Smith,2.6438,3.1365,3.0944,1.9449,3.6474,3.72,1,1
David Miller,0.2238,3.1365,2.708,1.9449,3.7556,3.5504,1,0
Riyan Parag,2.1948,2.1948,2.8776,1.9449,1.713,1.4706,1,0
Rahul Tewatia,1.713,1.713,1.9882,1.9449,2.2448,1.7458,1,1
Murali Vijay,2.789,3.0684,2.4144,1.9449,3.8407,2.5998,1,0
Shane Watson,3.0768,3.8855,3.1684,1.9449,3.3673,3.72,1,1
Faf du Plessis,2.956,2.956,3.502,1.9449,3.4464,3.3266,1,1
Ruturaj Gaikwad,0.2238,0.2238,0,1.9449,0.1582,0.2566,1,0
MS Dhoni,4.102,4.2076,3.9282,1.9449,4.0308,1.1828,1,1
Kedar Jadhav,2.011,2.4414,2.138,1.9449,2.4828,2.8876,1,1
Ravindra Jadeja,2.363,2.8434,2.822,1.9449,3.3424,1.2742,1,0
Sam Curran,1.864,2.313,2.504,1.9449,1.864,1.8968,1,1
Riyan Parag,0.9385,0.9385,1.5317,1.9449,0.6354,0,0,0
Shreyas Gopal,2.5097,2.9271,3.6626,1.9449,2.8012,1.7319,0,0
Tom Curran,1.4191,1.8718,0,1.9449,2.2126,1.7319,0,1
Jofra Archer,2.2892,2.2892,2.9483,1.9449,3.2875,2.0101,0,1
Jaydev Unadkat,1.6763,3.5974,2.7063,1.9449,3.0747,2.312,0,0
Shane Watson,1.2589,3.5161,0,1.9449,1.9946,0,0,0
Ravindra Jadeja,3.4372,3.964,3.9654,1.9449,4.5656,1.4385,0,0
Sam Curran,1.9693,1.8973,3.0496,1.9449,2.6521,2.4719,0,1
Deepak Chahar,2.7066,2.4489,4.1531,1.9449,3.2875,1.871,0,1
Piyush Chawla,1.4191,4.5218,2.8032,1.9449,4.4118,1.7319,0,0
Lungisani Ngidi,2.0923,2.0923,0,1.9449,1.5551,1.7319,0,0
David Warner,3.9592,4.5183,4.4265,2.9332,3.7386,4.3944,1,
Jonny Bairstow,3.4571,3.4571,3.9047,2.8904,2.7464,4.3216,1,
Manish Pandey,2.6438,3.2691,3.6716,2.507,2.5456,3.7616,1,
Kane Williamson,2.6994,2.6994,2.4514,2.973,3.8726,3.7214,1,
Priyam Garg,2.313,2.313,0,2.504,1.0672,3.3808,1,
Vijay Shankar,2.162,2.162,2.909,0.1582,3.3038,0.2566,1,
Shane Watson,2.9258,3.8855,3.1684,2.9332,4.0473,3.5192,1,
Faf du Plessis,2.956,2.956,3.502,3.566,3.1228,3.9454,1,
Ambati Rayudu,2.8799,3.2691,2.788,2.621,4.3225,3.113,1,
Sam Curran,1.8312,2.313,2.504,2.0222,1.0116,2.41,1,
MS Dhoni,3.951,4.2076,3.9282,2.822,4.3914,3.6902,1,
Ravindra Jadeja,2.4186,2.899,2.822,2.6024,2.9718,3.656,1,
Dwayne Bravo,2.4186,2.7308,1.9696,1.4378,2.1808,1.4706,1,
Vijay Shankar,1.0987,1.0987,1.2048,1.2956,2.3344,1.5483,0,
Rashid Khan,2.97,2.97,3.9654,3.0934,3.4145,4.2122,0,
Sandeep Sharma,2.3514,3.8353,2.9483,1.2471,3.4613,2.8032,0,
T Natarajan,1.5166,1.2589,0,2.5427,2.1879,3.6322,0,
Khaleel Ahmed,2.3867,2.3867,3.0934,2.5245,1.6106,3.1912,0,
Shane Watson,1.2589,3.5161,0,0,3.8011,0.5801,0,
Sam Curran,1.7743,2.2172,3.0496,2.8514,0.9531,2.6196,0,
Ravindra Jadeja,3.4372,3.8665,3.9654,1.5317,2.8814,4.1392,0,
Dwayne Bravo,3.5104,4.0012,3.1119,1.4348,4.0941,2.0186,0,
Deepak Chahar,2.4489,2.4489,4.1531,2.355,3.9229,3.1259,0,
Karn Sharma,1.7743,2.8968,1.792,1.7253,2.1905,2.3413,0,
Shardul Thakur,2.1917,2.6091,2.4217,2.4819,3.268,3.493,0,
Shikhar Dhawan,2.6994,3.8042,3.7714,2.7792,3.7714,3.2312,1,
Prithvi Shaw,2.3686,2.3686,3.1784,2.658,2.5468,3.5504,1,
Ajinkya Rahane,1.562,3.8296,3.5285,1.562,0.8338,1.7458,1,
Shreyas Iyer,2.9232,2.9232,3.6076,3.3038,2.9646,2.567,1,
Marcus Stoinis,2.772,2.5882,3.3736,3.0842,2.8292,4.0322,1,
Alex Carey,1.0116,1.0116,0,1.0116,0,0,1,
Axar Patel,1.6802,1.904,2.3844,1.2868,2.2262,1.0176,1,
Ravichandran Ashwin,0.8338,1.753,1.5632,0.8338,2.403,1.7004,1,
Jos Buttler,3.2538,3.107,3.1398,2.6024,3.2852,2.0352,1,
Ben Stokes,1.6802,2.3981,2.2974,0.9848,2.0752,1.0176,1,
Steven Smith,2.6438,3.1921,3.0944,2.507,3.7114,1.5308,1,
Sanju Samson,2.6775,2.8118,3.6239,2.5596,2.3844,2.1408,1,
Robin Uthappa,1.411,3.3224,2.8848,1.6676,3.388,2.8222,1,
Riyan Parag,2.162,2.162,2.8776,1.7202,2.0438,3.3466,1,
Rahul Tewatia,2.772,2.3458,1.9882,3.0286,2.5654,3.4976,1,
Marcus Stoinis,1.8718,2.057,1.5317,2.6455,2.5056,2.1936,0,
Harshal Patel,1.6768,2.7123,1.4833,1.6225,3.2875,0.8584,0,
Axar Patel,1.8713,3.5161,2.9424,2.7665,4.0941,3.7268,0,
Kagiso Rabada,2.6327,2.6327,4.0616,3.4126,2.6521,4.0209,0,
Ravichandran Ashwin,1.9693,4.4603,3.5598,2.7665,4.0941,3.9104,0,
Anrich Nortje,1.6141,1.6141,0,2.6637,1.8481,3.6321,0,
Ben Stokes,1.8365,1.934,2.4035,0.6115,1.8039,0.5801,0,
Riyan Parag,0.9385,0.9385,1.5317,0.6115,1.5551,0.5801,0,
Rahul Tewatia,1.5166,2.0315,2.034,2.2158,1.9946,1.3647,0,
Jofra Archer,2.7066,2.7066,2.9483,2.9724,2.8233,3.052,0,
Shreyas Gopal,2.8296,2.8296,3.6626,2.0463,3.141,1.4385,0,
Kartik Tyagi,1.5166,0,0,1.9312,0,0,0,
Jaydev Unadkat,2.0937,3.4372,2.7063,1.5317,4.3001,2.9868,0,
Devdutt Padikkal,2.621,2.621,0,2.9888,0.8338,2.631,1,
Aaron Finch,2.0438,2.497,0,2.3004,3.0202,3.026,1,
Virat Kohli,4.1977,4.1977,3.8335,3.3594,3.4145,3.6032,1,
AB de Villiers,4.183,4.5183,4.1904,3.4676,4.3486,3.7528,1,
Shivam Dube,1.713,1.713,1.713,2.5468,1.562,0,1,
Chris Morris,0,2.2802,1.0774,0,2.554,0,1,
Washington Sundar,1.6802,1.6802,0.7354,1.562,2.5654,0,1,
Chris Gayle,3.4571,4.2617,4.1348,0,3.7114,0,1,
Mayank Agarwal,2.6047,2.6775,3.0728,3.7465,2.3318,3.878,1,
KL Rahul,3.6242,3.7526,4.2755,3.6511,4.1485,3.6746,1,
Nicholas Pooran,2.7392,2.7392,2.5468,2.9302,2.5654,1.0772,1,
Glenn Maxwell,2.5924,2.5924,0,1.6676,2.4828,4.065,1,
Shivam Dube,1.9693,1.9693,0.6115,2.155,2.3344,0,0,
Chris Morris,1.9693,3.1545,2.9724,2.155,4.2406,2.4719,0,
Isuru Udana,1.7743,1.7743,0,2.5245,0,2.1936,0,
Washington Sundar,2.0315,2.0315,2.155,2.2701,2.1658,2.4719,0,
Navdeep Saini,1.6763,1.6763,2.8032,2.0463,1.8039,2.1936,0,
Mohammed Siraj,1.934,2.3147,2.4217,2.155,1.8728,2.0545,0,
Yuzvendra Chahal,3.5719,3.8353,3.8608,3.0934,4.6178,3.4485,0,
Glenn Maxwell,1.5161,1.6763,0,0.9202,2.9945,0.8584,0,
Chris Jordan,0.6808,1.5421,0,0.9384,0,0,0,
Mohammed Shami,2.2892,2.5173,3.8685,2.9724,3.2901,3.3539,0,
Murugan Ashwin,1.3564,1.934,2.1432,2.155,2.9945,2.1936,0,
Arshdeep Singh,1.8365,1.7743,1.8102,2.155,0,0,0,
Ravi Bishnoi,1.6141,1.6141,0,2.6637,2.3344,0.8584,0,
Quinton de Kock,2.6438,2.7659,3.7158,2.5596,2.2334,3.4863999999999997,1
Rohit Sharma,3.7509000000000006,4.0075,3.2768,2.9332000000000003,4.4009,4.001,1
Suryakumar Yadav,2.6438,2.4414000000000002,3.7030000000000003,2.9858000000000002,3.7114000000000003,4.5782,1
Ishan Kishan,2.1292,2.1848,1.8186,2.9302,2.7720000000000002,2.1408,1
Kieron Pollard,3.6202,3.6202,3.5418000000000003,3.4548,3.2212,4.2674,1
Hardik Pandya,2.5368,2.5368,4.126200000000001,2.4484,4.0236,3.8084,1
Krunal Pandya,2.5696,2.5696,2.641,2.5467999999999997,3.0599999999999996,2.2136,1
Shubman Gill,2.6766,2.6766,3.5020000000000002,3.2084,2.4514,4.0196,1
Rahul Tripathi,2.621,2.2176,2.3004,2.621,1.9768000000000001,3.6018000000000003,1
Nitish Rana,2.2176,2.2176,3.298,2.4514,2.3958,2.5484,1
Eoin Morgan,2.162,2.4742,0.0,2.822,1.9242000000000001,2.8563999999999994,1
Dinesh Karthik,2.7948000000000004,3.3224,3.5974000000000004,1.9268000000000003,3.2212,3.4863999999999997,1
Andre Russell,3.0514,3.0514,4.0364,2.1206,3.0172,1.6818,1
Tom Banton,0.9848000000000001,0.9848000000000001,0.0,0.9848000000000001,0.0,0.0,1
Kieron Pollard,2.7378,2.7378,0.0,1.7194,2.6326,2.312,0
Hardik Pandya,2.6148,2.3514,3.7052,0.0,3.6052,0.0,0
Krunal Pandya,2.7123,2.7123,3.5175,1.9071000000000002,3.2432999999999996,3.3095,0
James Pattinson,1.8718000000000004,1.8718000000000004,0.0,2.9724,2.3344,4.2122,0
Rahul Chahar,2.129,2.0315000000000003,3.3539000000000003,2.3368,2.2126,4.0731,0
Trent Boult,1.9693000000000003,2.8725,2.2158,3.0934,2.9697999999999998,4.0731,0
Jasprit Bumrah,3.2527,3.5161,4.1531,3.2916,3.6078,4.601,0
Andre Russell,3.093,2.9955,3.4206000000000003,2.6455,3.268,2.7737000000000003,0
Pat Cummins,0.9385000000000001,1.6763000000000001,0.0,1.8586,1.8039,2.6196,0
Kamlesh Nagarkoti,1.2589,1.2589,0.0,1.9071000000000002,0.0,1.7611999999999999,0
Varun Chakravarthy,0.0,1.2589,0.0,0.0,0.0,2.5249,0
Lockie Ferguson,0.9385000000000001,1.0987,1.5317,0.0,1.1685,0.0,0
Prasidh Krishna,1.7993000000000001,1.7993000000000001,2.1432,2.1550000000000002,1.8039,2.4719,0
Kuldeep Yadav,2.4744,2.7378,1.8586,0.9202,2.246,1.1602000000000001,0
KL Rahul,3.6798,3.7526,4.2755,3.7623,3.1155999999999997,4.9258,1
Mayank Agarwal,2.6047000000000002,2.6775,3.0728,3.7465,2.9646,4.0964,1
Chris Gayle,3.4571000000000005,4.5183,4.1348,2.47,4.417900000000001,2.6123999999999996,1
Nicholas Pooran,2.7392000000000003,2.7392000000000003,2.5467999999999997,2.9302,0.15819999999999998,4.0964,1
Glenn Maxwell,2.5924,2.5596,0.0,1.5692000000000002,1.7415999999999998,2.044,1
Deepak Hooda,1.0116,1.7358000000000002,1.7202,1.0116,2.6894,1.0772000000000002,1
Prithvi Shaw,2.3686000000000003,2.3686000000000003,3.1784000000000003,2.5267999999999997,1.8712000000000002,3.3807999999999994,1
Shikhar Dhawan,2.9354999999999998,4.0403,3.7714000000000003,3.6481000000000003,3.3124,3.4863999999999997,1
Shreyas Iyer,2.9232,2.9232,3.6075999999999997,3.3594000000000004,3.7586,3.505,1
Shimron Hetmyer,2.7164,2.162,1.9268000000000003,2.973,0.8338000000000001,1.7004000000000001,1
Rishabh Pant,3.3103,3.3103,3.9095999999999997,2.822,2.4828,3.5704000000000002,1
Marcus Stoinis,2.7720000000000002,2.5882,3.3736,3.0842,3.4548,4.288799999999999,1
Axar Patel,1.6802000000000001,1.9040000000000001,2.3844000000000003,2.1206,0.9848000000000001,1.4251999999999998,1
Ravichandran Ashwin,0.8338000000000001,1.753,1.5632,0.8338000000000001,2.1808,1.957,1
Tushar Deshpande,0.0,0.0,0.0,0.0,0.0,0.0,1
Glenn Maxwell,1.5161,1.5161,0.0,1.5317,1.2929,2.3413000000000004,0
Chris Jordan,0.9385000000000001,2.0570000000000004,0.0,1.5317,1.1685,2.0395000000000003,0
Murugan Ashwin,1.5166000000000002,1.9340000000000002,2.1432,2.4819,0.9531,2.7737000000000003,0
Ravi Bishnoi,1.6141,1.6141,0.0,2.6637,1.9945999999999997,4.2122,0
Arshdeep Singh,1.8365,1.8718000000000004,1.8102,2.4819,0.0,3.052,0
Mohammed Shami,2.2892,2.6148,3.8685,2.9724,2.9697999999999998,4.0522,0
Marcus Stoinis,1.7743000000000002,2.0570000000000004,1.5317,2.5245,2.3344,2.1936,0
Axar Patel,1.7738000000000003,3.5161,2.9424,2.7847,2.6521,4.0286,0
Ravichandran Ashwin,1.8718000000000004,4.460300000000001,3.5598,2.6455,4.5957,4.0286,0
Tushar Deshpande,1.7743000000000002,0.0,0.0,1.913,0.0,0.0,0
Kagiso Rabada,3.0501,3.0501,4.0616,3.4126,3.2874999999999996,4.601,0
Anrich Nortje,1.8718000000000004,1.8718000000000004,0.0,2.9724,0.6354,4.2122,0
Ruturaj Gaikwad,2.011,2.011,0.0,1.9126,0.0,3.4179999999999997,1
Faf du Plessis,2.956,3.0116,3.5020000000000002,4.0364,3.0145999999999997,3.9454000000000002,1
Ambati Rayudu,2.8799,3.2691,2.788,2.8776,3.09,3.1129999999999995,1
MS Dhoni,4.2076,4.2076,3.9282,2.5014,4.0736,3.6902,1
Sam Curran,2.162,2.313,2.504,2.5768,3.1982000000000004,3.1255999999999995,1
Narayan Jagadeesan,1.5292,1.5292,0.0,1.4635999999999998,0.0,2.48,1
Ravindra Jadeja,2.4186,2.899,2.822,3.7114000000000003,3.5918,4.3388,1
Monu Kumar,0.0,0.0,0.0,0.0,0.0,0.0,1
Shubman Gill,2.6766,2.6766,3.5020000000000002,3.351,2.7266,3.0900000000000003,1
Nitish Rana,2.2176,2.5298,3.298,2.889,1.7202,2.2047999999999996,1
Rahul Tripathi,2.1948,2.2176,2.3004,2.4514,3.0286,0.0,1
Dinesh Karthik,2.7948000000000004,3.2896,3.5974000000000004,2.4072,3.2768,2.9732,1
Eoin Morgan,2.162,2.4742,0.0,3.3352000000000004,2.3318,1.0772000000000002,1
Sunil Narine,2.1662000000000003,2.1662000000000003,2.1206,2.0778000000000003,2.6338,1.5947999999999998,1
Andre Russell,3.0514,2.6252,4.0364,1.9696000000000002,4.0792,2.3558,1
Sam Curran,1.8718000000000004,2.3147,3.0496,3.257,2.0193,3.6113,0
Ravindra Jadeja,3.7006,4.1299,3.9654,2.1432,4.4492,4.0001,0
Ravisrinivasan Sai Kishore,0.0,0.0,0.0,0.0,0.0,0.0,0
Mitchell Santner,1.7116000000000002,1.7116000000000002,2.1732,1.8463,1.7015999999999998,2.1492,0
Deepak Chahar,2.5464,2.7123,4.1531,3.2329000000000003,2.3148999999999997,3.4277,0
Monu Kumar,0.6808000000000001,0.6808000000000001,0.0,0.6115,0.0,0.5801000000000001,0
KM Asif,1.7743000000000002,1.7743000000000002,0.0,0.0,1.8949,0.0,0
Imran Tahir,2.4737,3.216,4.6731,0.6115,4.4713,0.8584,0
Sunil Narine,4.2155,4.7423,2.9242000000000004,2.0463,3.9008,2.5902,0
Pat Cummins,1.3558999999999999,2.0937,0.0,2.4278000000000004,1.9283,2.1936,0
Andre Russell,3.093,2.9955,3.4206000000000003,2.5245,2.9724,0.0,0
Lockie Ferguson,1.5166000000000002,1.3564,1.5317,2.4819,0.0,0.0,0
Kamlesh Nagarkoti,1.2589,1.2589,0.0,1.9071000000000002,2.1879,2.1936,0
Prasidh Krishna,1.7993000000000001,1.7993000000000001,2.1432,1.9071000000000002,0.9531,0.0,0
Varun Chakravarthy,0.0,1.7986,0.0,0.0,1.8480999999999999,2.4719,0
