,Consistency,TotalConsistency,Form,RecentForm,Opposition,Venue,BatBowl,DreamTeam
Yuzvendra Chahal,3.5719,3.8353,3.8608,2.4819,4.4713,4.2122,0,0
Hardik Pandya,2.6148,2.3514,3.7052,0,2.6326,0,0,0
Kieron Pollard,2.7378,2.7378,0,1.6043,3.9476,1.1602,0,1
Krunal Pandya,2.7123,2.7123,3.5175,0.9202,3.9008,0.5801,0,0
James Pattinson,1.5166,1.5166,0,1.9312,0.6354,0.8584,0,0
Rahul Chahar,2.129,2.129,3.3539,2.3609,1.2929,1.871,0,1
Trent Boult,1.9693,2.6091,2.2158,2.4819,3.2875,2.4719,0,1
Jasprit Bumrah,3.1297,3.3931,4.1531,1.8102,4.072,1.1602,0,0
Shikhar Dhawan,2.6438,3.8042,3.7714,1.6146,1.6676,2.48,1,0
Prithvi Shaw,2.3686,2.3686,3.1784,2.621,2.9146,0,1,0
Shreyas Iyer,2.9232,2.9232,3.6076,2.5654,3.348,0,1,0
Rishabh Pant,3.3103,3.3103,3.9096,2.9916,4.0501,0,1,1
Shimron Hetmyer,0.8338,1.5848,1.9268,0.8338,3.1982,0,1,0
Marcus Stoinis,3.1982,2.5882,3.3736,3.1982,0,0,1,0
Axar Patel,1.5292,1.904,2.3844,0.9848,2.9616,1.2742,1,1
David Warner,3.9592,4.5183,4.4265,1.9882,4.1848,2.7366,1,1
Jonny Bairstow,3.4015,3.4015,3.9047,2.47,3.1426,0.8666,1,1
Manish Pandey,2.6438,3.0125,3.6716,2.8962,4.0308,3.7116,1,0
Kane Williamson,2.6994,2.6994,2.4514,0,3.8726,0,1,1
Priyam Garg,1.411,0,0,1.411,0,0,1,0
Abdul Samad,0,0,0,0,0,0,1,1
Marcus Stoinis,1.9693,1.9595,1.5317,2.155,0.6354,0,0,0
Axar Patel,1.7738,3.2527,2.9424,1.9673,3.4145,3.052,0,1
Kagiso Rabada,2.5712,2.5712,4.0616,2.155,3.2005,0,0,1
Anrich Nortje,1.4539,1.6141,0,1.5376,0,0,0,0
Amit Mishra,3.5719,4.9025,3.0693,0.6115,3.0747,2.4719,0,1
Ishant Sharma,1.6141,3.2224,3.2329,0.6115,2.1216,2.0101,0,0
Abhishek Sharma,1.8718,1.8718,2.034,1.913,2.3344,0.5801,0,0
Rashid Khan,2.5464,2.8098,3.9654,0.9202,3.561,2.0101,0,1
Bhuvneshwar Kumar,3.6334,4.2217,3.4147,0.6115,3.3924,1.9448,0,1
T Natarajan,1.5166,1.2589,0,1.6043,0.6354,1.9154,0,1
Abdul Samad,0,0,0,0,0,0,0,1
Khaleel Ahmed,1.9693,1.9693,3.0934,1.913,2.6521,1.9154,0,0
