,Consistency,TotalConsistency,Form,Opposition,Venue,DreamTeam
Glenn Maxwell,1.6763,1.6763,0,1.6795,1.3647,0
Chris Jordan,0.6808,1.6396,0,0.6354,1.4385,0
Harpreet Brar,0.6808,0.6808,0.6115,0.9531,0.8584,0
Ravi Bishnoi,1.0987,1.0987,0,0.6354,3.493,0
Mohammed Shami,2.2892,2.5173,3.8685,2.246,3.7504,0
Sheldon Cottrell,1.8718,1.8718,0,0.6354,3.3303,0
Shane Watson,1.2589,3.5161,0,4.0941,0.5801,0
Ravindra Jadeja,3.4372,3.8665,3.9654,3.5857,4.021,1
Dwayne Bravo,3.5104,4.0012,3.1119,4.9355,1.4385,0
Sam Curran,1.5166,2.057,3.0496,0.6354,2.0395,0
Shardul Thakur,2.1917,2.6091,2.4217,3.2875,2.9129,2
Piyush Chawla,1.7743,4.5218,2.8032,3.9476,3.493,1
Deepak Chahar,2.7066,2.4489,4.1531,2.246,2.5249,0
Moeen Ali,1.6141,1.6141,2.476,2.63,2.0545,1
Shivam Dube,1.9693,1.9693,0.6115,0.6354,2.7737,0
Washington Sundar,1.2589,1.7738,2.155,2.2681,2.3413,0
Isuru Udana,1.7743,1.7743,0,1.5551,2.7738,1
Navdeep Saini,1.6763,1.6763,2.8032,2.1905,2.6196,0
Mohammed Siraj,1.934,2.3147,2.4217,3.3122,2.4719,2
Yuzvendra Chahal,3.5719,3.8353,3.8608,4.0941,4.2122,0
Marcus Stoinis,1.5166,1.9595,1.5317,0.9531,2.1936,0
Ravichandran Ashwin,1.9693,4.4603,3.5598,4.072,3.9104,1
Axar Patel,1.7738,3.5161,2.9424,4.2406,3.7268,2
Harshal Patel,1.7743,2.8725,1.4833,1.8039,0.8584,0
Kagiso Rabada,2.6327,2.6327,4.0616,3.4413,4.0209,4
Anrich Nortje,1.8718,1.8718,0,2.3344,3.6321,2
Hardik Pandya,2.6148,2.3514,3.7052,2.9945,0,0
Kieron Pollard,2.7378,2.7378,0,3.8359,2.4511,1
Krunal Pandya,2.7123,2.7123,3.5175,2.6547,2.5249,0
James Pattinson,1.9693,1.9693,0,2.3344,3.9104,2
Rahul Chahar,2.129,2.129,3.3539,2.9698,3.9104,1
Trent Boult,1.9693,2.8725,2.2158,3.2875,3.7713,2
