,Consistency,TotalConsistency,Form,Opposition,Venue,BatBowl,DreamTeam
James Pattinson,1.9693,1.9693,0,2.3344,3.052,0,1
Trent Boult,1.9693,2.6091,2.2158,2.9698,3.052,0,1
Jasprit Bumrah,3.1297,3.3931,4.1531,3.6078,2.7738,0,1
KL Rahul,3.6242,3.9036,4.2755,4.1485,4.1346,1,1
Mayank Agarwal,2.162,2.0152,3.0728,2.3318,4.0094,1,1
Karun Nair,2.1948,2.5298,0.9848,3.2768,2.1534,1,0
Nicholas Pooran,2.2574,2.2574,2.5468,2.5654,1.2742,1,0
Glenn Maxwell,2.5924,2.5924,0,2.4828,1.5308,1,1
Sarfaraz Khan,2.621,2.313,3.3038,1.562,1.5948,1,0
James Neesham,0,0,0,0,0,1,0
Ravi Bishnoi,0,0,0,0,0,1,0
Devdutt Padikkal,2.1948,2.1948,0,0.8338,2.7166,1,0
Aaron Finch,1.9882,2.497,0,3.0202,4.115,1,1
Virat Kohli,4.1977,4.1977,3.8335,3.4145,1.7874,1,0
AB de Villiers,4.183,4.0921,4.1904,4.3486,4.0822,1,1
Josh Philippe,0.801,0,0,0,0,1,0
Shivam Dube,1.562,1.562,1.713,1.562,1.2742,1,1
Washington Sundar,1.8312,1.6802,0.7354,2.5654,2.48,1,1
Glenn Maxwell,1.6763,1.6763,0,2.9945,1.3647,0,1
James Neesham,0.6808,0,0,0,0,0,0
Murugan Ashwin,1.3564,1.934,2.1432,2.9945,2.1936,0,1
Ravi Bishnoi,1.9693,0,0,0,0,0,1
Mohammed Shami,2.2892,2.5173,3.8685,3.2901,3.9104,0,1
Sheldon Cottrell,1.9693,1.9693,0,2.3344,3.052,0,1
Shivam Dube,1.9693,1.9693,0.6115,2.3344,2.7737,0,1
Washington Sundar,1.4191,2.0315,2.155,2.1658,0.5801,0,1
Navdeep Saini,1.6763,1.6763,2.8032,1.8039,2.4511,0,0
Umesh Yadav,1.934,3.841,2.5186,4.9355,1.4385,0,0
Dale Steyn,2.4489,3.3931,2.155,3.0747,3.6322,0,0
Yuzvendra Chahal,3.5719,3.8353,3.8608,4.6178,4.2122,0,0
Shubman Gill,2.6766,2.6766,3.502,3.4094,3.4508,1,1
Sunil Narine,2.1106,2.1106,2.1206,2.5354,1.7874,1,0
Nitish Rana,2.3686,2.2176,3.298,2.9646,2.6124,1,1
Dinesh Karthik,2.7948,3.3224,3.5974,2.4244,2.1408,1,0
Eoin Morgan,2.162,2.2176,0,3.2296,3.1956,1,1
Andre Russell,2.7948,3.0514,4.0364,2.6338,1.5948,1,1
Shivam Mavi,0.952,0.952,0,1.1358,1.0176,1,0
David Warner,3.9592,4.5183,4.4265,4.6078,2.7366,1,1
Jonny Bairstow,3.4015,3.4015,3.9047,3.4548,0.8666,1,0
Manish Pandey,2.6438,3.0125,3.6716,2.9946,3.7116,1,1
Priyam Garg,1.411,0,0,0,0,1,0
Wriddhiman Saha,1.6802,2.7103,2.1206,3.9789,2.3104,1,1
Mohammad Nabi,1.864,1.864,2.1206,0.8606,0.8934,1,0
Sunil Narine,3.7981,4.0615,2.9242,3.3924,4.601,0,0
Andre Russell,3.093,2.9955,3.4206,3.4587,2.4719,0,1
Pat Cummins,0.9385,1.934,0,1.2929,1.7612,0,1
Shivam Mavi,1.2589,1.2589,0,1.2929,2.6346,0,0
Kuldeep Yadav,2.4744,2.4744,1.8586,4.0941,1.1602,0,0
Varun Chakravarthy,0,1.5166,0,1.8481,2.0101,0,1
Kamlesh Nagarkoti,0.6808,0.6808,0,0.6354,0.5801,0,0
Mohammad Nabi,1.5769,1.5769,3.1039,0.6354,0.8584,0,0
Abhishek Sharma,1.8718,1.8718,2.034,0.6354,0.5801,0,0
Rashid Khan,2.5464,2.8098,3.9654,3.561,2.0101,0,1
Bhuvneshwar Kumar,3.6334,4.2217,3.4147,4.4118,1.9448,0,0
Khaleel Ahmed,1.9693,1.9693,3.0934,2.8233,1.9154,0,0
T Natarajan,1.5166,1.2589,0,2.0414,1.9154,0,1
Steven Smith,2.6438,3.1921,3.0944,3.549,4.0322,1,1
Jos Buttler,3.2538,2.7948,3.1398,4.1348,0.8666,1,0
Sanju Samson,2.6775,2.8118,3.6239,3.703,4.065,1,1
Robin Uthappa,1.1358,3.3224,2.8848,3.2568,2.1408,1,1
Riyan Parag,2.162,2.162,2.8776,0.1582,1.4252,1,0
Rahul Tewatia,2.3458,2.1948,1.9882,2.6024,3.2938,1,1
Mayank Agarwal,2.5491,2.6775,3.0728,3.7223,3.878,1,1
KL Rahul,3.6242,3.7526,4.2755,3.9838,3.6746,1,1
